1,xyz: 6 0 8
0,./a.out
Device:,wlp2s0
=== Transmission ===
BSSID,dB_mean,measure_count,antenna_index,channel,TSFT,flags,data_rate,rx_flag,timestamp,mcs,ampdu_status
C8:84:A1:CE:B5:42,-83,3,3,108,19,16,48,0,84,4294967295,4294967295
C8:84:A1:CE:B5:44,-83,3,3,108,158,16,48,0,223,4294967295,4294967295
A4:88:73:9C:AD:02,-78,3,3,108,53,16,48,0,118,4294967295,4294967295
A4:88:73:9C:AD:04,-78,3,3,108,192,16,48,0,1,4294967295,4294967295
A9:5B:0C:4F:E0:89,-78,3,3,108,98,16,48,0,163,4294967295,4294967295
E7:33:11:2D:A9:FF,-82,3,3,108,52,16,22,0,117,4294967295,4294967295
FF:51:79:73:03:06,-78,3,3,108,155,16,48,0,220,4294967295,4294967295
A4:88:73:9C:AD:01,-78,3,3,108,35,16,48,0,101,4294967295,4294967295
9E:18:88:BE:72:5E,-81,3,3,108,148,16,48,0,213,4294967295,4294967295
8B:1F:30:4F:81:FC,-81,3,3,108,66,16,2,0,131,4294967295,4294967295
3C:41:0E:FE:F4:81,-84,3,3,108,105,16,48,0,171,4294967295,4294967295
A0:46:88:F6:48:60,-85,3,3,108,236,16,48,0,45,4294967295,4294967295
A9:5B:0C:4F:62:32,-77,3,3,108,168,16,48,0,234,4294967295,4294967295
3C:41:0E:FE:F4:81,-86,3,3,108,30,16,48,0,95,4294967295,4294967295
3C:41:0E:FF:23:80,-77,3,3,108,7,16,48,0,73,4294967295,4294967295
3C:41:0E:FF:23:81,-77,3,3,108,151,16,48,0,216,4294967295,4294967295
3C:41:0E:FF:23:82,-77,3,3,108,52,16,48,0,117,4294967295,4294967295
3C:41:0E:FF:23:84,-76,3,3,108,197,16,48,0,6,4294967295,4294967295
A0:46:88:F6:00:00,-84,3,3,108,212,16,48,0,21,4294967295,4294967295
3C:0A:63:8C:F4:81,-83,3,3,108,31,16,48,0,96,4294967295,4294967295
EA:D8:7E:8C:94:54,-65,3,3,108,101,16,2,0,167,4294967295,4294967295
EA:D8:7E:8C:94:54,-66,3,3,108,105,16,2,0,171,4294967295,4294967295
3C:41:0E:FF:23:84,-77,3,3,108,30,16,48,0,95,4294967295,4294967295
3C:41:0E:FF:23:84,-77,3,3,108,68,16,48,0,133,4294967295,4294967295
3C:41:0E:FF:23:84,-77,3,3,108,94,16,48,0,159,4294967295,4294967295
04:27:A2:47:23:80,-78,3,3,108,250,16,48,0,59,4294967295,4294967295
04:27:A2:47:27:03,-78,3,3,108,96,16,48,0,161,4294967295,4294967295
04:27:A2:47:00:04,-78,3,3,108,226,16,48,0,36,4294967295,4294967295
04:27:A2:47:2A:01,-78,3,3,108,100,16,48,0,165,4294967295,4294967295
A4:88:73:9C:AD:00,-78,3,3,108,2,16,48,0,67,4294967295,4294967295
A4:88:73:9C:AD:01,-78,3,3,108,146,16,48,0,211,4294967295,4294967295
A4:88:73:9C:AD:02,-78,3,3,108,47,16,48,0,112,4294967295,4294967295
A4:88:73:9C:AD:04,-78,3,3,108,192,16,48,0,2,4294967295,4294967295
BC:58:96:35:00:00,-80,3,3,108,54,16,2,0,120,4294967295,4294967295
4A:4A:9C:A0:23:84,-78,3,3,108,250,16,48,0,59,4294967295,4294967295
A4:88:73:9C:AD:01,-78,3,3,108,137,16,48,0,202,4294967295,4294967295
3C:41:0E:FE:F4:81,-85,3,3,108,213,16,48,0,22,4294967295,4294967295
E6:1C:AB:26:C0:88,-85,3,3,108,111,16,24,0,176,4294967295,4294967295
0A:B5:DB:CE:39:2F,-80,3,3,108,247,16,2,0,57,4294967295,4294967295
E6:1C:AB:26:C0:88,-85,3,3,108,171,16,24,0,237,4294967295,4294967295
40:6F:FF:A2:04:01,-79,3,3,108,167,16,22,0,232,4294967295,4294967295
3C:41:0E:FF:23:82,-77,3,3,108,53,16,48,0,118,4294967295,4294967295
A4:88:73:9C:AD:00,-78,3,3,108,10,16,48,0,75,4294967295,4294967295
A4:88:73:9C:AD:00,-78,3,3,108,43,16,48,0,108,4294967295,4294967295
A4:88:73:9C:AD:02,-78,3,3,108,10,16,48,0,75,4294967295,4294967295
A4:88:73:9C:AD:02,-79,3,3,108,19,16,48,0,84,4294967295,4294967295
A4:88:73:9C:AD:02,-78,3,3,108,209,16,48,0,18,4294967295,4294967295
04:27:A2:47:00:DD,-79,3,3,108,12,16,48,0,78,4294967295,4294967295
A4:88:73:9C:AD:02,-78,3,3,108,75,16,48,0,141,4294967295,4294967295
A4:88:73:9C:AD:04,-78,3,3,108,207,16,48,0,17,4294967295,4294967295
A4:88:73:9C:AD:04,-79,3,3,108,238,16,48,0,47,4294967295,4294967295
A4:88:73:9C:AD:04,-79,3,3,108,8,16,48,0,73,4294967295,4294967295
A4:88:73:9C:AD:04,-79,3,3,108,78,16,48,0,143,4294967295,4294967295
F6:19:0C:D3:72:5E,-82,3,3,108,173,16,48,0,239,4294967295,4294967295
8B:1F:30:4F:AB:01,-80,3,3,108,203,16,2,0,12,4294967295,4294967295
3C:41:0E:FE:F4:81,-85,3,3,108,85,16,48,0,150,4294967295,4294967295
DA:78:02:3D:A9:01,-83,3,3,108,206,16,48,0,15,4294967295,4294967295
4C:48:05:4A:B1:01,-83,3,3,108,239,16,48,0,48,4294967295,4294967295
D8:7C:82:1E:A8:01,-80,3,3,108,45,16,2,0,110,4294967295,4294967295
3C:41:0E:FF:20:00,-78,3,3,108,193,16,48,0,2,4294967295,4294967295
3C:41:0E:FF:23:80,-77,3,3,108,228,16,48,0,38,4294967295,4294967295
3C:41:0E:FF:23:80,-77,3,3,108,30,16,48,0,96,4294967295,4294967295
3C:41:0E:FF:23:80,-77,3,3,108,222,16,48,0,32,4294967295,4294967295
C8:84:A1:CE:B5:40,-83,3,3,108,240,16,48,0,49,4294967295,4294967295
C8:84:A1:CE:B5:41,-82,3,3,108,129,16,48,0,194,4294967295,4294967295
